,repository_name,repository_language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,argo-rollouts,
12,async-datastore-client,Java
13,async-google-pubsub-client,Java
14,backup-utils,Shell
15,basic-pitch,Python
16,basic-pitch-ts,TypeScript
17,batty,Python
18,bazel,
19,bazel-tools,Java
20,beam,Java
21,big-data-rosetta-code,Scala
22,bigtable-autoscaler,Java
23,boilerplate-app,
24,bucket-runner,JavaScript
25,cartography,Python
26,cassandra-extra,Java
27,cassandra-medusa,Python
28,cassandra-opstools,Java
29,cassandra-reaper,
